Polling station code,File
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/z1cfnco1vb498gwi2dirt4pel7ti
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/t4tt5b9gj1shrna1790waremo7jv
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/gejkr9vobnbec2r48jk2eszqhgku
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/ldt9f4uy4qu1gpxtbf0u26bj6opg
01-060-0050,https://elections2020by.s3.eu-north-1.amazonaws.com/fzddt984hj3swtz47dz7igroogmw
01-060-0050,https://elections2020by.s3.eu-north-1.amazonaws.com/bt9q6thu7i3kjjx8qvherenk5d4z
01-060-0056,https://elections2020by.s3.eu-north-1.amazonaws.com/0b1c32e7-9662-49c6-abd6-72278d80bd69
01-060-0057,https://elections2020by.s3.eu-north-1.amazonaws.com/ced9de96-b661-455d-bc20-3c8abbea2905
01-060-0058,https://elections2020by.s3.eu-north-1.amazonaws.com/1e3f7d30-58aa-488a-888f-702801913646
01-060-0059,https://elections2020by.s3.eu-north-1.amazonaws.com/805e784d-0f57-4508-995c-9aae8b72a63c
01-060-0060,https://elections2020by.s3.eu-north-1.amazonaws.com/b74950ee-39f1-47ac-b916-8a54962ee494
01-060-0061,https://elections2020by.s3.eu-north-1.amazonaws.com/c111f2e6-6d2e-42eb-93be-2f34f6db1cdb
01-060-0061,https://elections2020by.s3.eu-north-1.amazonaws.com/xxm8a7h94kywn5mznilkchrdgw9l
01-060-0068,https://elections2020by.s3.eu-north-1.amazonaws.com/xxp7ub08916ckioj4dl3d1xglx9k
01-061-0032,https://elections2020by.s3.eu-north-1.amazonaws.com/lw29cyd1snsh7qgqertw5w2qfneb
01-062-0003,https://elections2020by.s3.eu-north-1.amazonaws.com/clu7ldbaza7i3karnow81nittm9l
01-062-0009,https://elections2020by.s3.eu-north-1.amazonaws.com/wapd5v6vbeynvp53mhkckc2bqsxk
01-062-0009,https://elections2020by.s3.eu-north-1.amazonaws.com/it9abckev7do641hg6weo8xanhht
01-062-0021,https://elections2020by.s3.eu-north-1.amazonaws.com/v7hh2kwcvfcbthaytjqrrbynn5fm
01-062-0021,https://elections2020by.s3.eu-north-1.amazonaws.com/cvsqmc4jeud9js1k4jlu44tez3mz
